Id,SalePrice
1461,122549.71
1462,148132.6
1463,177292.16
1464,178887.36
1465,210722.17
1466,173578.34
1467,160401.31
1468,177614.48
1469,185515.05
1470,117416.75
1471,192898.94
1472,96933.94
1473,94481.71
1474,158684.1
1475,149350.95
1476,421304.1
1477,262955.75
1478,334178.34
1479,298921.84
1480,460677.03
1481,317055.4
1482,216075.47
1483,182086.2
1484,162731.98
1485,149477.47
1486,201000.7
1487,366663.84
1488,246143.28
1489,211931.33
1490,187360.88
1491,191491.3
1492,97235.0
1493,195872.78
1494,314003.16
1495,272267.88
1496,216364.05
1497,188628.52
1498,151331.12
1499,151331.12
1500,138816.22
1501,172963.86
1502,144639.62
1503,403135.0
1504,206340.06
1505,224584.77
1506,225043.06
1507,238770.45
1508,186729.4
1509,165273.02
1510,146432.1
1511,153656.67
1512,166307.22
1513,179354.11
1514,124040.375
1515,182549.44
1516,155498.1
1517,143071.9
1518,164656.11
1519,214416.4
1520,136912.22
1521,145004.94
1522,172492.06
1523,117575.055
1524,120227.54
1525,117545.75
1526,127044.32
1527,87729.48
1528,125661.47
1529,150768.44
1530,152670.92
1531,117651.836
1532,88800.1
1533,162725.44
1534,117702.15
1535,144686.45
1536,112318.17
1537,73272.51
1538,185480.84
1539,192472.02
1540,118910.875
1541,180625.17
1542,131904.97
1543,280388.44
1544,69849.64
1545,111517.625
1546,126365.69
1547,113632.15
1548,129569.9
1549,111189.945
1550,153801.67
1551,118527.85
1552,152685.75
1553,130383.59
1554,123094.62
1555,160310.88
1556,113518.55
1557,123321.32
1558,107938.67
1559,124331.19
1560,168140.73
1561,148677.52
1562,109156.05
1563,121416.27
1564,163170.83
1565,143912.56
1566,196760.02
1567,74295.29
1568,186807.4
1569,108674.56
1570,127709.78
1571,118315.15
1572,143535.52
1573,239290.12
1574,158149.02
1575,200732.95
1576,191674.53
1577,213314.42
1578,145881.08
1579,143079.8
1580,194140.31
1581,136870.92
1582,127775.89
1583,302281.56
1584,237094.69
1585,141511.12
1586,73001.71
1587,96285.19
1588,151738.58
1589,123282.516
1590,148648.67
1591,95708.5
1592,102884.734
1593,119010.984
1594,165860.23
1595,123349.445
1596,281001.66
1597,168395.3
1598,174052.86
1599,181964.16
1600,189898.98
1601,57656.438
1602,118959.89
1603,103292.57
1604,271262.66
1605,238688.64
1606,164522.39
1607,235306.78
1608,191102.75
1609,205749.77
1610,155201.08
1611,158074.2
1612,193389.7
1613,175034.53
1614,123742.555
1615,79897.38
1616,79897.38
1617,82506.43
1618,125270.836
1619,136549.55
1620,176193.33
1621,135212.47
1622,136748.6
1623,268764.78
1624,205830.83
1625,121880.34
1626,191792.25
1627,190141.31
1628,270337.44
